shipment_id,customer,timestamp,lat,lon,carrier,status
S1001,Customer_A,2025-09-04T08:00:00Z,37.7749,-122.4194,CoastalExpress,departed
S1001,Customer_A,2025-09-04T09:00:00Z,36.9000,-121.8000,CoastalExpress,in_transit
S1001,Customer_A,2025-09-04T10:00:00Z,36.0000,-120.9000,CoastalExpress,in_transit
S1001,Customer_A,2025-09-04T11:00:00Z,35.2000,-119.9000,CoastalExpress,in_transit
S1001,Customer_A,2025-09-04T12:00:00Z,34.7000,-118.9000,CoastalExpress,in_transit
S1001,Customer_A,2025-09-04T13:00:00Z,34.0522,-118.2437,CoastalExpress,arrived
S1002,Customer_B,2025-09-04T08:15:00Z,47.6062,-122.3321,NWFreight,departed
S1002,Customer_B,2025-09-04T08:45:00Z,47.1000,-122.3000,NWFreight,in_transit
S1002,Customer_B,2025-09-04T09:15:00Z,46.6000,-122.2000,NWFreight,in_transit
S1002,Customer_B,2025-09-04T09:45:00Z,46.1000,-122.0000,NWFreight,in_transit
S1002,Customer_B,2025-09-04T10:15:00Z,45.8000,-122.4000,NWFreight,in_transit
S1002,Customer_B,2025-09-04T10:45:00Z,45.5152,-122.6784,NWFreight,arrived
S1003,Customer_C,2025-09-04T07:30:00Z,41.8781,-87.6298,MidPlains,departed
S1003,Customer_C,2025-09-04T09:00:00Z,41.0000,-90.5000,MidPlains,in_transit
S1003,Customer_C,2025-09-04T10:30:00Z,40.4000,-95.0000,MidPlains,in_transit
S1003,Customer_C,2025-09-04T12:00:00Z,39.9000,-100.0000,MidPlains,in_transit
S1003,Customer_C,2025-09-04T13:30:00Z,39.7392,-104.9903,MidPlains,arrived
S1004,Customer_D,2025-09-04T08:05:00Z,29.7604,-95.3698,TexLogix,departed
S1004,Customer_D,2025-09-04T08:50:00Z,30.5000,-95.9000,TexLogix,in_transit
S1004,Customer_D,2025-09-04T09:35:00Z,31.2000,-96.2000,TexLogix,in_transit
S1004,Customer_D,2025-09-04T10:20:00Z,31.9000,-96.4000,TexLogix,in_transit
S1004,Customer_D,2025-09-04T11:05:00Z,32.4000,-96.6000,TexLogix,in_transit
S1004,Customer_D,2025-09-04T11:50:00Z,32.7767,-96.7970,TexLogix,arrived
S1005,Customer_C,2025-09-04T05:30:00Z,25.7617,-80.1918,Coast2Coast,departed
S1005,Customer_C,2025-09-04T08:00:00Z,30.0000,-85.0000,Coast2Coast,in_transit
S1005,Customer_C,2025-09-04T12:00:00Z,33.0000,-90.0000,Coast2Coast,in_transit
S1005,Customer_C,2025-09-04T16:00:00Z,36.0000,-95.0000,Coast2Coast,in_transit
S1005,Customer_C,2025-09-04T20:00:00Z,39.0000,-100.0000,Coast2Coast,in_transit
S1005,Customer_C,2025-09-05T00:00:00Z,42.0000,-110.0000,Coast2Coast,in_transit
S1005,Customer_C,2025-09-05T02:00:00Z,45.0000,-118.0000,Coast2Coast,in_transit
S1005,Customer_C,2025-09-05T03:30:00Z,47.6062,-122.3321,Coast2Coast,arrived
